wind_farm,fac_id,deliv,prov
30,"(2, 2) AB",0.0,AB
30,"(2, 3) AB",1.0,AB
30,"(3, 1) AB",0.0,AB
30,"(3, 2) AB",0.0,AB
30,"(3, 3) AB",0.0,AB
30,"(4, 1) AB",0.0,AB
30,"(4, 2) AB",0.0,AB
30,"(4, 3) AB",0.0,AB
31,"(1, 1) AB",0.0,AB
31,"(1, 2) AB",0.0,AB
31,"(1, 3) AB",0.0,AB
31,"(2, 1) AB",0.0,AB
31,"(2, 2) AB",0.0,AB
31,"(2, 3) AB",1.0,AB
31,"(3, 1) AB",0.0,AB
31,"(3, 2) AB",0.0,AB
31,"(3, 3) AB",0.0,AB
31,"(4, 1) AB",0.0,AB
31,"(4, 2) AB",0.0,AB
31,"(4, 3) AB",0.0,AB
32,"(1, 1) AB",0.0,AB
32,"(1, 2) AB",0.0,AB
32,"(1, 3) AB",0.0,AB
32,"(2, 1) AB",0.0,AB
32,"(2, 2) AB",0.0,AB
32,"(2, 3) AB",0.0,AB
32,"(3, 1) AB",0.0,AB
32,"(3, 2) AB",0.0,AB
32,"(3, 3) AB",0.0,AB
32,"(4, 1) AB",0.0,AB
32,"(4, 2) AB",0.0,AB
32,"(4, 3) AB",1.0,AB
33,"(1, 1) AB",0.0,AB
33,"(1, 2) AB",0.0,AB
33,"(1, 3) AB",0.0,AB
33,"(2, 1) AB",0.0,AB
33,"(2, 2) AB",0.0,AB
33,"(2, 3) AB",0.0,AB
33,"(3, 1) AB",0.0,AB
33,"(3, 2) AB",0.0,AB
33,"(3, 3) AB",0.0,AB
33,"(4, 1) AB",0.0,AB
33,"(4, 2) AB",0.0,AB
33,"(4, 3) AB",1.0,AB
34,"(1, 1) AB",0.0,AB
34,"(1, 2) AB",0.0,AB
34,"(1, 3) AB",0.0,AB
34,"(2, 1) AB",0.0,AB
34,"(2, 2) AB",0.0,AB
34,"(2, 3) AB",0.0,AB
34,"(3, 1) AB",0.0,AB
34,"(3, 2) AB",0.0,AB
34,"(3, 3) AB",0.0,AB
34,"(4, 1) AB",0.0,AB
34,"(4, 2) AB",0.0,AB
34,"(4, 3) AB",1.0,AB
35,"(1, 1) AB",0.0,AB
35,"(1, 2) AB",0.0,AB
35,"(1, 3) AB",0.0,AB
35,"(2, 1) AB",0.0,AB
35,"(2, 2) AB",0.0,AB
35,"(2, 3) AB",0.0,AB
35,"(3, 1) AB",0.0,AB
35,"(3, 2) AB",0.0,AB
35,"(3, 3) AB",0.0,AB
35,"(4, 1) AB",0.0,AB
35,"(4, 2) AB",0.0,AB
35,"(4, 3) AB",1.0,AB
36,"(1, 1) AB",0.0,AB
36,"(1, 2) AB",0.0,AB
36,"(1, 3) AB",0.0,AB
36,"(2, 1) AB",0.0,AB
36,"(2, 2) AB",0.0,AB
36,"(2, 3) AB",0.0,AB
36,"(3, 1) AB",0.0,AB
36,"(3, 2) AB",0.0,AB
36,"(3, 3) AB",0.0,AB
36,"(4, 1) AB",0.0,AB
36,"(4, 2) AB",0.0,AB
36,"(4, 3) AB",1.0,AB
37,"(1, 1) AB",0.0,AB
37,"(1, 2) AB",0.0,AB
37,"(1, 3) AB",0.0,AB
37,"(2, 1) AB",0.0,AB
37,"(2, 2) AB",0.0,AB
37,"(2, 3) AB",0.0,AB
37,"(3, 1) AB",0.0,AB
37,"(3, 2) AB",0.0,AB
37,"(3, 3) AB",0.0,AB
37,"(4, 1) AB",0.0,AB
37,"(4, 2) AB",0.0,AB
37,"(4, 3) AB",1.0,AB
38,"(1, 1) AB",0.0,AB
38,"(1, 2) AB",0.0,AB
38,"(1, 3) AB",0.0,AB
38,"(2, 1) AB",0.0,AB
38,"(2, 2) AB",0.0,AB
38,"(2, 3) AB",1.0,AB
38,"(3, 1) AB",0.0,AB
38,"(3, 2) AB",0.0,AB
38,"(3, 3) AB",0.0,AB
38,"(4, 1) AB",0.0,AB
38,"(4, 2) AB",0.0,AB
38,"(4, 3) AB",0.0,AB
39,"(1, 1) AB",0.0,AB
39,"(1, 2) AB",0.0,AB
39,"(1, 3) AB",0.0,AB
39,"(2, 1) AB",0.0,AB
39,"(2, 2) AB",0.0,AB
39,"(2, 3) AB",0.0,AB
39,"(3, 1) AB",0.0,AB
39,"(3, 2) AB",0.0,AB
39,"(3, 3) AB",0.0,AB
39,"(4, 1) AB",0.0,AB
39,"(4, 2) AB",0.0,AB
39,"(4, 3) AB",1.0,AB
40,"(1, 1) AB",0.0,AB
40,"(1, 2) AB",0.0,AB
40,"(1, 3) AB",0.0,AB
40,"(2, 1) AB",0.0,AB
40,"(2, 2) AB",0.0,AB
40,"(2, 3) AB",1.0,AB
40,"(3, 1) AB",0.0,AB
40,"(3, 2) AB",0.0,AB
40,"(3, 3) AB",0.0,AB
40,"(4, 1) AB",0.0,AB
40,"(4, 2) AB",0.0,AB
40,"(4, 3) AB",0.0,AB
41,"(1, 1) BC",0.0,BC
41,"(1, 2) BC",0.0,BC
41,"(1, 3) BC",0.0,BC
41,"(2, 1) BC",0.0,BC
41,"(2, 2) BC",0.0,BC
41,"(2, 3) BC",0.0,BC
41,"(3, 1) BC",0.0,BC
41,"(3, 2) BC",0.0,BC
41,"(3, 3) BC",1.0,BC
41,"(4, 1) BC",0.0,BC
41,"(4, 2) BC",0.0,BC
41,"(4, 3) BC",0.0,BC
42,"(1, 1) BC",0.0,BC
42,"(1, 2) BC",0.0,BC
42,"(1, 3) BC",0.0,BC
42,"(2, 1) BC",0.0,BC
42,"(2, 2) BC",0.0,BC
42,"(2, 3) BC",1.0,BC
42,"(3, 1) BC",0.0,BC
42,"(3, 2) BC",0.0,BC
42,"(3, 3) BC",0.0,BC
42,"(4, 1) BC",0.0,BC
42,"(4, 2) BC",0.0,BC
42,"(4, 3) BC",0.0,BC
43,"(1, 1) BC",0.0,BC
43,"(1, 2) BC",0.0,BC
43,"(1, 3) BC",0.0,BC
43,"(2, 1) BC",0.0,BC
43,"(2, 2) BC",0.0,BC
43,"(2, 3) BC",0.0,BC
43,"(3, 1) BC",0.0,BC
43,"(3, 2) BC",0.0,BC
43,"(3, 3) BC",1.0,BC
43,"(4, 1) BC",0.0,BC
43,"(4, 2) BC",0.0,BC
43,"(4, 3) BC",0.0,BC
44,"(1, 1) BC",0.0,BC
44,"(1, 2) BC",0.0,BC
44,"(1, 3) BC",0.0,BC
44,"(2, 1) BC",0.0,BC
44,"(2, 2) BC",0.0,BC
44,"(2, 3) BC",0.0,BC
44,"(3, 1) BC",0.0,BC
44,"(3, 2) BC",0.0,BC
44,"(3, 3) BC",1.0,BC
44,"(4, 1) BC",0.0,BC
44,"(4, 2) BC",0.0,BC
44,"(4, 3) BC",0.0,BC
45,"(1, 1) BC",0.0,BC
45,"(1, 2) BC",0.0,BC
45,"(1, 3) BC",0.0,BC
45,"(2, 1) BC",0.0,BC
45,"(2, 2) BC",0.0,BC
45,"(2, 3) BC",0.0,BC
45,"(3, 1) BC",0.0,BC
45,"(3, 2) BC",0.0,BC
45,"(3, 3) BC",1.0,BC
45,"(4, 1) BC",0.0,BC
45,"(4, 2) BC",0.0,BC
45,"(4, 3) BC",0.0,BC
46,"(1, 1) BC",0.0,BC
46,"(1, 2) BC",0.0,BC
46,"(1, 3) BC",0.0,BC
46,"(2, 1) BC",0.0,BC
46,"(2, 2) BC",0.0,BC
46,"(2, 3) BC",0.0,BC
46,"(3, 1) BC",0.0,BC
46,"(3, 2) BC",0.0,BC
46,"(3, 3) BC",1.0,BC
46,"(4, 1) BC",0.0,BC
46,"(4, 2) BC",0.0,BC
46,"(4, 3) BC",0.0,BC
47,"(1, 1) BC",0.0,BC
47,"(1, 2) BC",0.0,BC
47,"(1, 3) BC",0.0,BC
47,"(2, 1) BC",0.0,BC
47,"(2, 2) BC",0.0,BC
47,"(2, 3) BC",0.0,BC
47,"(3, 1) BC",0.0,BC
47,"(3, 2) BC",0.0,BC
47,"(3, 3) BC",1.0,BC
47,"(4, 1) BC",0.0,BC
47,"(4, 2) BC",0.0,BC
47,"(4, 3) BC",0.0,BC
48,"(1, 1) BC",0.0,BC
48,"(1, 2) BC",0.0,BC
48,"(1, 3) BC",0.0,BC
48,"(2, 1) BC",0.0,BC
48,"(2, 2) BC",0.0,BC
48,"(2, 3) BC",0.0,BC
48,"(3, 1) BC",0.0,BC
48,"(3, 2) BC",0.0,BC
48,"(3, 3) BC",1.0,BC
48,"(4, 1) BC",0.0,BC
48,"(4, 2) BC",0.0,BC
48,"(4, 3) BC",0.0,BC
49,"(1, 1) BC",0.0,BC
49,"(1, 2) BC",0.0,BC
49,"(1, 3) BC",0.0,BC
49,"(2, 1) BC",0.0,BC
49,"(2, 2) BC",0.0,BC
49,"(2, 3) BC",0.0,BC
49,"(3, 1) BC",0.0,BC
49,"(3, 2) BC",0.0,BC
49,"(3, 3) BC",1.0,BC
49,"(4, 1) BC",0.0,BC
49,"(4, 2) BC",0.0,BC
49,"(4, 3) BC",0.0,BC
50,"(1, 1) BC",0.0,BC
50,"(1, 2) BC",0.0,BC
50,"(1, 3) BC",0.0,BC
50,"(2, 1) BC",0.0,BC
50,"(2, 2) BC",0.0,BC
